x,y
353,0
356,4
358,9
361,12
363,17
371,28
373,33
378,39
383,49
388,55
392,63
397,69
399,74
406,83
408,88
413,94
419,105
422,108
428,119
442,139
448,150
451,153
452,156
460,167
462,172
476,193
480,202
482,204
482,206
485,212
488,216
488,219
490,221
490,223
492,226
492,229
492,226
490,223
488,216
484,208
482,206
482,204
480,202
480,200
478,198
476,193
472,188
471,185
461,170
460,167
452,156
451,153
443,142
442,139
423,111
422,108
414,97
413,94
408,88
406,83
401,77
397,69
382,47
381,44
372,31
366,20
363,17
361,12
354,2
354,0
