"","","","","Total","Total","","",""
"","#Sites","Total","","Regional","Regional","","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","0","440","","0.0%",""
"EastTennesseeRegion","6","7",".","8","1866","","0.4%","higher"
"Jackson-MadisonCounty","0","1",".","0","","0","0.0%","n/a"
"Knoxville-KnoxCounty","3","3",".","5","1395","","0.4%",""
"Mid-CumberlandRegion","4","15",".","0","610","","0.0%",""
"ShelbyCounty(Memphis)","8","11",".","0","1246","","0.0%",""
"Nashville-DavidsonCounty","3","10",".","3","1127","","0.3%",""
"NortheastRegion","5","5",".","0","359","","0.0%",""
"SouthCentralRegion","3","3",".","0","181","","0.0%",""
"SoutheastRegion","2","5",".","0","341","","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","297","","0.0%",""
"UpperCumberlandRegion","4","4",".","1","534","","0.2%",""
"WestTennesseeRegion","6","6",".","0","260","","0.0%",""
"StateofTennessee","48","75",".","17","8656","","0.20%",""
