Hamilton County (Chattanooga),4,4,.,1,826,0.1%
East Tennessee Region,3,7,.,7,1363,0.5%
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,3,4,.,6,1840,0.3%
Mid-Cumberland Region,9,11,.,6,1219,0.5%
Shelby County (Memphis),8,12,.,10,1215,0.8% higher
Nashville-Davidson County,1,5,.,0,0,0.0% n/a
Northeast Region,2,3,.,0,154,0.0%
South Central Region,3,3,.,0,251,0.0%
Southeast Region,4,5,.,0,427,0.0%
Sullivan County (Tri-Cities),1,2,.,0,402,0.0%
Upper Cumberland Region,4,4,.,0,451,0.0%
West Tennessee Region,6,6,.,1,307,0.3%
