Hamilton County (Chattanooga),4,4,.,1,853,0.1%
East Tennessee Region,5,7,.,16,1581,1.0% higher
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,1,4,.,14,1121,1.3% higher
Mid-Cumberland Region,5,10,.,3,786,0.4%
Shelby County (Memphis),1,6,.,0,215,0.0%
Nashville-Davidson County,2,5,.,3,118,2.5% higher
Northeast Region,3,3,.,2,218,0.9%
South Central Region,3,3,.,1,270,0.4%
Southeast Region,3,5,.,0,338,0.0%
Sullivan County (Tri-Cities),2,2,.,0,553,0.0%
Upper Cumberland Region,4,4,.,2,484,0.4%
West Tennessee Region,6,6,.,0,304,0.0%
