Hamilton County (Chattanooga),3,4,.,0,536,0.0%
East Tennessee Region,6,8,.,8,2423,0.3%
Jackson-Madison County,1,2,.,4,578,0.7%
Knoxville-Knox County,3,4,.,0,1059,0.0%
Mid-Cumberland Region,8,10,.,4,537,0.7%
Shelby County (Memphis),2,14,.,0,221,0.0%
Nashville-Davidson County,4,6,.,7,971,0.7% higher
Northeast Region,3,3,.,3,182,1.7% higher
South Central Region,3,3,.,0,186,0.0%
Southeast Region,5,5,.,0,719,0.0%
Sullivan County (Tri-Cities),1,2,.,0,349,0.0%
Upper Cumberland Region,4,4,.,0,476,0.0%
West Tennessee Region,5,6,.,1,280,0.4%
