Hamilton County (Chattanooga),4,4,.,2,817,0.2% lower
East Tennessee Region,7,7,.,53,2849,1.9% higher
Jackson-Madison County,1,1,.,4,529,0.8%
Knoxville-Knox County,3,4,.,13,1059,1.2%
Mid-Cumberland Region,10,10,.,4,1147,0.4% lower
Shelby County (Memphis),2,10,.,0,241,0.0%
Nashville-Davidson County,4,6,.,2,598,0.3%
Northeast Region,2,3,.,0,211,0.0%
South Central Region,3,3,.,0,252,0.0%
Southeast Region,5,5,.,12,829,1.5%
Sullivan County (Tri-Cities),1,2,.,0,378,0.0%
Upper Cumberland Region,4,4,.,1,625,0.2% lower
West Tennessee Region,4,6,.,0,225,0.0%
