"Hamilton County (Chattanooga)","2","5","0","74","0.0%",""
"East Tennessee Region","6","7","1","2761","0.0%",""
"Jackson-Madison County","0","0","0","0","0.0%",""
"Knoxville-Knox County","4","4","0","876","0.0%",""
"Mid-Cumberland Region","5","10","0","523","0.0%",""
"Shelby County (Memphis)","0","5","0","0","0.0%",""
"Nashville-Davidson County","4","6","0","493","0.0%",""
"Northeast Region","2","3","0","299","0.0%",""
"South Central Region","3","3","0","227","0.0%",""
"Southeast Region","4","4","0","469","0.0%",""
"Sullivan County (Tri-Cities)","1","2","0","166","0.0%",""
"Upper Cumberland Region","3","5","0","376","0.0%",""
"West Tennessee Region","5","6","0","232","0.0%",""

