"","","","","Total","Total","","","",""
"","#Sites","Total","","Regional","Regional","","Compared","",""
"","","","","","","","","2",""
"Summaryfor","reporting","Sites","","ILI","Patients","%ILI","to State","",""
"HamiltonCounty(Chattanooga)","4","4",".","1","714","0.1%","lower","",""
"East TennesseeRegion","5","9",".","118","2463","4.8%","higher","",""
"Jackson-MadisonCounty","1","1",".","37","783","4.7%","higher","",""
"Knoxville-KnoxCounty","1","3",".","21","112","18.8%","higher","",""
"Mid-CumberlandRegion","5","15",".","1","299","0.3%","lower","","â€¢Thepercentage"
"ShelbyCounty(Memphis)","2","4",".","2","270","0.7%","lower","","siteswas2.71%."
"Nashville-DavidsonCounty","3","10",".","9","698","1.3%","lower","",""
