Hamilton County (Chattanooga),3,4,.,0,692,0.0%
East Tennessee Region,2,7,.,0,290,0.0%
Jackson-Madison County,1,2,.,0,613,0.0%
Knoxville-Knox County,2,4,.,0,761,0.0%
Mid-Cumberland Region,9,11,.,0,908,0.0%
Shelby County (Memphis),10,12,.,1,917,0.1%
Nashville-Davidson County,2,5,.,3,130,2.3% higher
Northeast Region,2,3,.,0,136,0.0%
South Central Region,3,3,.,0,249,0.0%
Southeast Region,3,5,.,0,76,0.0%
Sullivan County (Tri-Cities),1,2,.,0,302,0.0%
Upper Cumberland Region,4,4,.,0,498,0.0%
West Tennessee Region,5,6,.,0,210,0.0%
