"Chattanooga-Hamilton County","4","5","2","743","0.3%",""
"East Tennessee Region","7","7","6","4107","0.1%","lower"
"Jackson-Madison County","1","1","22","1021","2.2%","higher"
"Knoxville-Knox County","0","4","0","0","0.0%",""
"Mid-Cumberland Region","8","12","7","1008","0.7%",""
"Memphis-Shelby County","3","9","4","272","1.5%",""
"Nashville-Davidson County","6","6","26","1753","1.5%","higher"
"Northeast Region","2","3","2","305","0.7%",""
"South Central Region","2","3","2","157","1.3%",""
"Southeast Region","4","5","0","481","0.0%",""
"Sullivan County","1","2","0","228","0.0%",""
"Upper Cumberland Region","4","5","0","572","0.0%",""
"West Tennessee Region","5","6","0","492","0.0%",""

