Hamilton County (Chattanooga) 2 4 . 20,597,3.4%,lower
East Tennessee Region 7 9 . 207,2862,7.2%,higher
Jackson-Madison County 1 1 . 18,588,3.1%,lower
Knoxville-Knox County 2 3 . 54,1476,3.7%,lower
Mid-Cumberland Region 9 15 . 26,1056,2.5%,lower
Shelby County (Memphis) 3 4 . 4,346,1.2%,lower
Nashville-Davidson County 6 10 . 230,1476,15.6%,higher
Northeast Region 4 5 . 8,400,2.0%,lower
South Central Region 3 3 . 2,224,0.9%,lower
Southeast Region 2 4 . 26,361,7.2%,
Sullivan County (Tri-Cities) 2 3 . 10,396,2.5%,lower
Upper Cumberland Region 4 4 . 7,459,1.5%,lower
West Tennessee Region 6 6 . 1,350,0.3%,lower
