"Hamilton County (Chattanooga)","3","4",".0","449","0.0%",""
"East Tennessee Region","6","7",".1","2082","0.1%",""
"Jackson-Madison County","0","1",".0","0","0.0%","n/a"
"Knoxville-Knox County","2","3",".6","940","0.6%","higher"
"Mid-Cumberland Region","6","15",".1","663","0.2%",""
"Shelby County (Memphis)","6","11",".0","816","0.0%",""
"Nashville-Davidson County","3","10",".1","1071","0.1%",""
"Northeast Region","4","5",".1","365","0.3%",""
"South Central Region","3","3",".0","182","0.0%",""
"Southeast Region","2","5",".0","331","0.0%",""
"Sullivan County (Tri-Cities)","0","1",".0","0","0.0%","n/a"
"Upper Cumberland Region","4","4",".0","519","0.0%",""
"West Tennessee Region","6","6",".0","334","0.0%",""

