Hamilton County (Chattanooga),3,4,.,0,626,0.0%
East Tennessee Region,7,7,.,7,3222,0.2%
Jackson-Madison County,1,1,.,10,514,2.0% higher
Knoxville-Knox County,3,4,.,3,1421,0.2%
Mid-Cumberland Region,8,10,.,4,597,0.7%
Shelby County (Memphis),1,10,.,0,454,0.0%
Nashville-Davidson County,1,6,.,0,32,0.0%
Northeast Region,2,2,.,0,207,0.0%
South Central Region,3,3,.,0,194,0.0%
Southeast Region,5,5,.,0,803,0.0%
Sullivan County (Tri-Cities),0,2,.,0,0,0.0%
Upper Cumberland Region,4,4,.,2,550,0.4%
West Tennessee Region,6,6,.,1,367,0.3%
