"Chattanooga-Hamilton County","3","5","0","299","0.0%",""
"East Tennessee Region","6","7","0","2724","0.0%",""
"Jackson-Madison County","0","1","0","0","0.0%",""
"Knoxville-Knox County","3","4","0","553","0.0%",""
"Mid-Cumberland Region","5","10","0","416","0.0%",""
"Memphis-Shelby County","1","5","0","59","0.0%",""
"Nashville-Davidson County","3","6","1","1228","0.1%",""
"Northeast Region","0","3","0","0","0.0%",""
"South Central Region","3","3","0","248","0.0%",""
"Southeast Region","4","4","0","390","0.0%",""
"Sullivan County","1","2","0","134","0.0%",""
"Upper Cumberland Region","4","5","0","354","0.0%",""
"West Tennessee Region","1","6","0","42","0.0%",""

