"Hamilton County (Chattanooga)","2","4.","0","595","0.0%","lower"
"East Tennessee Region","6","9.","10","1593","0.6%",""
"Jackson-Madison County","1","1.","18","526","3.4%","higher"
"Knoxville-Knox County","0","3.","0","0","0.0%","n/a"
"Mid-Cumberland Region","5","14.","0","698","0.0%","lower"
"Shelby County (Memphis)","3","4.","1","332","0.3%",""
"Nashville-Davidson County","6","11.","17","1365","1.3%",""
"Northeast Region","2","5.","0","124","0.0%",""
"South Central Region","3","3.","0","193","0.0%",""
"Southeast Region","2","4.","0","124","0.0%",""
"Sullivan County (Tri-Cities)","2","2.","4","334","1.2%",""
"Upper Cumberland Region","4","4.","1","324","0.3%",""
"West Tennessee Region","5","6.","0","279","0.0%",""

