"Chattanooga-Hamilton County","2","5","0","357","0.0%",""
"East Tennessee Region","6","7","2","2432","0.1%",""
"Jackson-Madison County","0","1","0","0","0.0%",""
"Knoxville-Knox County","3","4","1","652","0.2%",""
"Mid-Cumberland Region","10","10","0","809","0.0%",""
"Memphis-Shelby County","1","5","0","67","0.0%",""
"Nashville-Davidson County","2","6","1","475","0.2%",""
"Northeast Region","2","3","0","321","0.0%",""
"South Central Region","3","3","0","352","0.0%",""
"Southeast Region","4","4","1","501","0.2%",""
"Sullivan County","0","2","0","0","0.0%",""
"Upper Cumberland Region","4","5","2","663","0.3%",""
"West Tennessee Region","6","6","0","394","0.0%",""

