Hamilton County (Chattanooga),3,4,.,1,427,0.2% lower
East Tennessee Region,5,7,.,80,2087,3.8%
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,20,357,5.6% higher
Mid-Cumberland Region,7,15,.,23,524,4.4%
Shelby County (Memphis),9,11,.,75,1114,6.7% higher
Nashville-Davidson County,2,10,.,12,722,1.7% lower
Northeast Region,3,5,.,4,214,1.9%
South Central Region,3,3,.,3,211,1.4%
Southeast Region,4,5,.,8,448,1.8%
Sullivan County (Tri-Cities),1,1,.,0,287,0.0% lower
Upper Cumberland Region,4,4,.,1,605,0.2% lower
West Tennessee Region,6,6,.,0,331,0.0% lower
