"","","","","Total","Total","",""
"","#Sites","Total","","Regional","Regional","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","%ILI","to State2"
"Hamilton County(Chattanooga)","4","4",".","0","387","0.0%",""
"East TennesseeRegion","5","7",".","31","1721","1.8%","higher"
"Jackson-MadisonCounty","1","1",".","15","668","2.3%","higher"
"Knoxville-KnoxCounty","2","3",".","12","635","1.9%","higher"
"Mid-Cumberland Region","4","15",".","1","375","0.3%",""
"ShelbyCounty(Memphis)","7","11",".","0","848","0.0%","lower"
"Nashville-DavidsonCounty","3","10",".","0","274","0.0%",""
"Northeast Region","4","5",".","0","316","0.0%",""
"South CentralRegion","2","3",".","0","76","0.0%",""
"Southeast Region","2","5",".","0","182","0.0%",""
"Sullivan County(Tri-Cities)","0","1",".","0","0","0.0%","n/a"
"UpperCumberlandRegion","4","4",".","0","423","0.0%","lower"
"West TennesseeRegion","6","6",".","1","193","0.5%",""
"Stateof Tennessee","44","75",".","60","6098","0.98%",""
