"Hamilton County (Chattanooga)","3","4",".0","304","0.0%",""
"East Tennessee Region","5","7",".12","1707","0.7%","higher"
"Jackson-Madison County","0","1",".0","0","0.0%","n/a"
"Knoxville-Knox County","3","3",".2","737","0.3%",""
"Mid-Cumberland Region","7","15",".0","403","0.0%",""
"Shelby County (Memphis)","1","11",".0","71","0.0%",""
"Nashville-Davidson County","3","10",".0","249","0.0%",""
"Northeast Region","3","5",".0","208","0.0%",""
"South Central Region","3","3",".0","156","0.0%",""
"Southeast Region","3","5",".0","97","0.0%",""
"Sullivan County (Tri-Cities)","0","1",".0","0","0.0%","n/a"
"Upper Cumberland Region","4","4",".0","364","0.0%",""
"West Tennessee Region","6","6",".0","223","0.0%",""

