Hamilton County (Chattanooga),2,4,.,0,74,0.0%
East Tennessee Region,5,7,.,0,1993,0.0%
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,4,451,0.9% higher
Mid-Cumberland Region,7,15,.,1,527,0.2%
Shelby County (Memphis),6,11,.,0,541,0.0%
Nashville-Davidson County,2,10,.,0,254,0.0%
Northeast Region,1,5,.,0,55,0.0%
South Central Region,3,3,.,0,191,0.0%
Southeast Region,2,5,.,0,94,0.0%
Sullivan County (Tri-Cities),1,1,.,0,309,0.0%
Upper Cumberland Region,4,4,.,0,644,0.0%
West Tennessee Region,6,6,.,0,337,0.0%
