Hamilton County (Chattanooga),3,4,.,10,294,3.4%
East Tennessee Region,4,7,.,37,819,4.5% higher
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,4,.,15,579,2.6%
Mid-Cumberland Region,7,10,.,24,551,4.4% higher
Shelby County (Memphis),2,4,.,5,607,0.8% lower
Nashville-Davidson County,3,5,.,28,233,12.0% higher
Northeast Region,2,3,.,7,135,5.2%
South Central Region,2,3,.,0,126,0.0%
Southeast Region,4,5,.,1,190,0.5%
Sullivan County (Tri-Cities),1,2,.,1,320,0.3% lower
Upper Cumberland Region,4,4,.,7,568,1.2% lower
West Tennessee Region,6,6,.,4,333,1.2%
