"Hamilton County (Chattanooga)","3","4",".0","566","0.0%",""
"East Tennessee Region","7","7",".12","2755","0.4%",""
"Jackson-Madison County","0","1",".0","0","0.0%",""
"Knoxville-Knox County","4","4",".5","1543","0.3%",""
"Mid-Cumberland Region","8","10",".1","864","0.1%",""
"Shelby County (Memphis)","2","10",".0","749","0.0%",""
"Nashville-Davidson County","3","6",".3","477","0.6%",""
"Northeast Region","2","3",".0","221","0.0%",""
"South Central Region","3","3",".0","229","0.0%",""
"Southeast Region","2","5",".0","157","0.0%",""
"Sullivan County (Tri-Cities)","0","2",".0","0","0.0%",""
"Upper Cumberland Region","3","4",".0","318","0.0%",""
"West Tennessee Region","5","6",".0","286","0.0%",""

