"Chattanooga-Hamilton County","4","5","25","607","4.1%",""
"East Tennessee Region","7","7","30","2546","1.2%","lower"
"Jackson-Madison County","1","1","90","919","9.8%","higher"
"Knoxville-Knox County","2","4","41","791","5.2%",""
"Mid-Cumberland Region","9","10","75","1428","5.3%",""
"Memphis-Shelby County","2","5","1","709","0.1%","lower"
"Nashville-Davidson County","2","6","128","1067","12.0%","higher"
"Northeast Region","2","3","2","336","0.6%","lower"
"South Central Region","3","3","0","275","0.0%","lower"
"Southeast Region","4","4","41","737","5.6%",""
"Sullivan County","2","2","5","308","1.6%","lower"
"Upper Cumberland Region","4","5","23","835","2.8%","lower"
"West Tennessee Region","6","6","3","390","0.8%","lower"

