"Hamilton County (Chattanooga)","3","4","3","542","0.6%",""
"East Tennessee Region","8","8","9","2810","0.3%","lower"
"Jackson-Madison County","1","1","4","494","0.8%",""
"Knoxville-Knox County","4","4","6","1209","0.5%",""
"Mid-Cumberland Region","9","9","3","1242","0.2%",""
"Shelby County (Memphis)","1","5","1","62","1.6%",""
"Nashville-Davidson County","5","6","39","1494","2.6%","higher"
"Northeast Region","2","2","0","338","0.0%",""
"South Central Region","3","3","0","294","0.0%",""
"Southeast Region","3","4","0","388","0.0%",""
"Sullivan County (Tri-Cities)","2","2","0","616","0.0%","lower"
"Upper Cumberland Region","4","5","0","576","0.0%",""
"West Tennessee Region","5","6","0","289","0.0%",""

