"Hamilton County (Chattanooga)","4","4","6","801","0.7%",""
"East Tennessee Region","8","8","72","3439","2.1%","higher"
"Jackson-Madison County","1","1","17","471","3.6%","higher"
"Knoxville-Knox County","4","4","8","1373","0.6%","lower"
"Mid-Cumberland Region","7","9","4","1170","0.3%","lower"
"Shelby County (Memphis)","2","4","0","841","0.0%","lower"
"Nashville-Davidson County","4","6","33","1349","2.4%","higher"
"Northeast Region","2","2","0","358","0.0%","lower"
"South Central Region","3","3","1","278","0.4%",""
"Southeast Region","3","4","10","465","2.2%",""
"Sullivan County (Tri-Cities)","2","2","0","499","0.0%","lower"
"Upper Cumberland Region","4","5","2","636","0.3%","lower"
"West Tennessee Region","6","6","0","430","0.0%","lower"

