Hamilton County (Chattanooga),3,4,.,0,457,0.0%
East Tennessee Region,4,7,.,1,1950,0.1% lower
Jackson-Madison County,1,1,.,6,506,1.2%
Knoxville-Knox County,2,3,.,8,403,2.0% higher
Mid-Cumberland Region,7,11,.,0,632,0.0% lower
Shelby County (Memphis),7,12,.,35,688,5.1% higher
Nashville-Davidson County,3,6,.,0,312,0.0%
Northeast Region,2,4,.,1,162,0.6%
South Central Region,2,3,.,0,140,0.0%
Southeast Region,4,4,.,0,175,0.0%
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,0,517,0.0% lower
West Tennessee Region,6,6,.,0,286,0.0%
