"Hamilton County (Chattanooga)","1","4",".0","14","0.0%",""
"East Tennessee Region","7","7",".0","2714","0.0%",""
"Jackson-Madison County","0","1",".0","0","0.0%",""
"Knoxville-Knox County","4","4",".0","1111","0.0%",""
"Mid-Cumberland Region","7","10",".1","605","0.2%","higher"
"Shelby County (Memphis)","1","10",".0","237","0.0%",""
"Nashville-Davidson County","3","6",".0","378","0.0%",""
"Northeast Region","1","3",".0","110","0.0%",""
"South Central Region","3","3",".0","176","0.0%",""
"Southeast Region","5","5",".0","535","0.0%",""
"Sullivan County (Tri-Cities)","1","2",".0","333","0.0%",""
"Upper Cumberland Region","3","4",".0","270","0.0%",""
"West Tennessee Region","5","6",".0","260","0.0%",""

