"Hamilton County (Chattanooga)","2","4",".1","62","1.6%",""
"East Tennessee Region","6","8",".102","2165","4.7%","higher"
"Jackson-Madison County","0","2",".0","0","","n/a"
"Knoxville-Knox County","2","4",".2","719","0.3%","lower"
"Mid-Cumberland Region","6","10",".17","445","3.8%",""
"Shelby County (Memphis)","2","5",".1","566","0.2%","lower"
"Nashville-Davidson County","3","6",".26","366","7.1%","higher"
"Northeast Region","2","3",".5","164","3.1%",""
"South Central Region","0","3",".0","0","","n/a"
"Southeast Region","5","5",".7","531","1.3%",""
"Sullivan County (Tri-Cities)","1","2",".0","339","0.0%","lower"
"Upper Cumberland Region","3","4",".1","488","0.2%","lower"
"West Tennessee Region","6","6",".1","348","0.3%","lower"

