Hamilton County (Chattanooga),3,4,.,0,789,0.0% lower
East Tennessee Region,5,7,.,25,2189,1.1% higher
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,3,3,.,14,1956,0.7%
Mid-Cumberland Region,9,11,.,15,1350,1.1%
Shelby County (Memphis),9,12,.,11,1082,1.0%
Nashville-Davidson County,3,5,.,4,1029,0.4%
Northeast Region,3,3,.,1,248,0.4%
South Central Region,2,3,.,2,188,1.1%
Southeast Region,4,5,.,2,466,0.4%
Sullivan County (Tri-Cities),1,1,.,0,375,0.0%
Upper Cumberland Region,4,4,.,1,605,0.2%
West Tennessee Region,6,6,.,0,340,0.0%
