"Chattanooga-Hamilton County","3","4","0","585","0.0%",""
"East Tennessee Region","4","7","2","1617","0.1%",""
"Jackson-Madison County","0","1","0","0","0.0%",""
"Knoxville-Knox County","2","5","1","274","0.4%",""
"Mid-Cumberland Region","9","10","4","972","0.4%",""
"Memphis-Shelby County","1","3","0","62","0.0%",""
"Nashville-Davidson County","1","5","0","39","0.0%",""
"Northeast Region","0","3","0","0","0.0%",""
"South Central Region","3","3","0","262","0.0%",""
"Southeast Region","2","5","0","469","0.0%",""
"Sullivan County","0","2","0","0","0.0%",""
"Upper Cumberland Region","2","5","0","200","0.0%",""
"West Tennessee Region","3","6","1","404","0.2%",""

