"","","","","Total","Total","","",""
"","#Sites","Total","","Regional","Regional","","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","1","571","","0.2%",""
"EastTennesseeRegion","5","7",".","7","1935","","0.4%",""
"Jackson-MadisonCounty","0","1",".","0","","0","0.0%","n/a"
"Knoxville-KnoxCounty","2","3",".","12","1187","","1.0%","higher"
"Mid-CumberlandRegion","7","15",".","1","1096","","0.1%",""
"ShelbyCounty(Memphis)","1","11",".","0","168","","0.0%",""
"Nashville-DavidsonCounty","3","10",".","5","1226","","0.4%",""
"NortheastRegion","4","5",".","1","218","","0.5%",""
"SouthCentralRegion","3","3",".","0","206","","0.0%",""
"SoutheastRegion","2","5",".","0","437","","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","247","","0.0%",""
"UpperCumberlandRegion","4","4",".","2","639","","0.3%",""
"WestTennesseeRegion","6","6",".","0","343","","0.0%",""
"StateofTennessee","41","75",".","29","8273","","0.35%",""
