"Chattanooga-Hamilton County","4","5","8","579","1.4%","lower"
"East Tennessee Region","7","7","54","2895","1.9%","lower"
"Jackson-Madison County","1","1","62","878","7.1%","higher"
"Knoxville-Knox County","2","4","33","729","4.5%",""
"Mid-Cumberland Region","9","10","52","1189","4.4%",""
"Memphis-Shelby County","1","5","0","35","0.0%",""
"Nashville-Davidson County","5","6","137","1429","9.6%","higher"
"Northeast Region","3","3","1","539","0.2%","lower"
"South Central Region","3","3","0","166","0.0%","lower"
"Southeast Region","4","4","19","744","2.6%",""
"Sullivan County","2","2","2","303","0.7%","lower"
"Upper Cumberland Region","5","5","12","718","1.7%","lower"
"West Tennessee Region","6","6","2","310","0.6%","lower"

