Hamilton County (Chattanooga) 1 4 . 0,230,0.0%,lower
East Tennessee Region 6 9 . 150,2054,7.3%,higher
Jackson-Madison County 1 1 . 30,757,4.0%,
Knoxville-Knox County 2 3 . 18,361,5.0%,
Mid-Cumberland Region 4 15 . 0,101,0.0%,lower
Shelby County (Memphis) 1 4 . 0,93,0.0%,lower
Nashville-Davidson County 4 10 . 4,98,4.1%,
Northeast Region 4 5 . 5,129,3.9%,
South Central Region 3 3 . 0,117,0.0%,lower
Southeast Region 2 4 . 0,90,0.0%,lower
Sullivan County (Tri-Cities) 2 3 . 5,145,3.5%,
Upper Cumberland Region 4 4 . 0,242,0.0%,lower
West Tennessee Region 5 6 . 3,152,2.0%,
