"Chattanooga-Hamilton County","2","5","0","75","0.0%",""
"East Tennessee Region","3","7","0","415","0.0%",""
"Jackson-Madison County","1","1","1","732","0.1%",""
"Knoxville-Knox County","1","4","0","287","0.0%",""
"Mid-Cumberland Region","5","11","0","380","0.0%",""
"Memphis-Shelby County","1","6","0","87","0.0%",""
"Nashville-Davidson County","4","6","2","1183","0.2%",""
"Northeast Region","2","3","0","306","0.0%",""
"South Central Region","2","3","0","225","0.0%",""
"Southeast Region","2","4","0","33","0.0%",""
"Sullivan County","1","2","0","187","0.0%",""
"Upper Cumberland Region","4","5","0","584","0.0%",""
"West Tennessee Region","6","6","0","533","0.0%",""

