"Hamilton County (Chattanooga)","3","4",".0","477","0.0%","lower"
"East Tennessee Region","5","7",".14","1926","0.7%","lower"
"Jackson-Madison County","1","1",".55","532","10.3%","higher"
"Knoxville-Knox County","3","3",".9","1247","0.7%","lower"
"Mid-Cumberland Region","8","11",".2","538","0.4%","lower"
"Shelby County (Memphis)","7","12",".51","810","6.3%","higher"
"Nashville-Davidson County","3","6",".4","436","0.9%",""
"Northeast Region","3","4",".0","226","0.0%","lower"
"South Central Region","2","3",".0","128","0.0%",""
"Southeast Region","3","4",".0","97","0.0%",""
"Sullivan County (Tri-Cities)","0","1",".0","0","0.0%","n/a"
"Upper Cumberland Region","4","4",".0","544","0.0%","lower"
"West Tennessee Region","6","6",".1","325","0.3%","lower"

