"Hamilton County (Chattanooga)","2","4",".0","494","0.0%",""
"East Tennessee Region","7","8",".2","1773","0.1%",""
"Jackson-Madison County","0","2",".0","0","0.0%","n/a"
"Knoxville-Knox County","3","4",".1","1177","0.1%",""
"Mid-Cumberland Region","5","10",".0","428","0.0%",""
"Shelby County (Memphis)","0","5",".0","0","0.0%","n/a"
"Nashville-Davidson County","3","5",".0","209","0.0%",""
"Northeast Region","2","3",".0","131","0.0%",""
"South Central Region","2","3",".0","126","0.0%",""
"Southeast Region","5","5",".0","526","0.0%",""
"Sullivan County (Tri-Cities)","2","2",".0","475","0.0%",""
"Upper Cumberland Region","4","4",".0","536","0.0%",""
"West Tennessee Region","6","6",".0","383","0.0%",""

