"Hamilton County (Chattanooga)","4","4","19","930","2.0%","lower"
"East Tennessee Region","7","8","209","2970","7.0%","higher"
"Jackson-Madison County","1","1","24","569","4.2%",""
"Knoxville-Knox County","2","4","12","1113","1.1%","lower"
"Mid-Cumberland Region","10","10","20","1021","2.0%","lower"
"Shelby County (Memphis)","6","10","130","1728","7.5%","higher"
"Nashville-Davidson County","3","6","52","940","5.5%",""
"Northeast Region","2","3","5","195","2.6%",""
"South Central Region","3","3","2","263","0.8%","lower"
"Southeast Region","4","5","18","468","3.8%",""
"Sullivan County (Tri-Cities)","2","2","7","628","1.1%","lower"
"Upper Cumberland Region","4","4","6","692","0.9%","lower"
"West Tennessee Region","6","6","9","444","2.0%","lower"

