Hamilton County (Chattanooga),2,4,.,2,167,1.2%
East Tennessee Region,6,7,.,40,2464,1.6%
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,8,1138,0.7% lower
Mid-Cumberland Region,8,11,.,2,1099,0.2% lower
Shelby County (Memphis),6,12,.,60,932,6.4% higher
Nashville-Davidson County,2,6,.,6,778,0.8%
Northeast Region,1,4,.,0,92,0.0%
South Central Region,3,3,.,0,230,0.0%
Southeast Region,4,4,.,0,417,0.0% lower
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,3,4,.,0,425,0.0% lower
West Tennessee Region,4,6,.,0,208,0.0%
