"Hamilton County (Chattanooga)","4","4",".7","715","1.0%","lower"
"East Tennessee Region","3","7",".81","1548","5.2%","higher"
"Jackson-Madison County","1","1",".10","593","1.7%",""
"Knoxville-Knox County","2","4",".12","659","1.8%",""
"Mid-Cumberland Region","7","10",".28","905","3.1%",""
"Shelby County (Memphis)","4","4",".9","1508","0.6%","lower"
"Nashville-Davidson County","3","5",".22","251","8.8%","higher"
"Northeast Region","3","3",".0","277","0.0%","lower"
"South Central Region","3","3",".2","145","1.4%",""
"Southeast Region","4","5",".9","298","3.0%",""
"Sullivan County (Tri-Cities)","2","2",".1","536","0.2%","lower"
"Upper Cumberland Region","4","4",".3","550","0.6%","lower"
"West Tennessee Region","6","6",".2","327","0.6%","lower"

