Hamilton County (Chattanooga),3,4,.,0,607,0.0%
East Tennessee Region,5,7,.,0,2833,0.0% lower
Jackson-Madison County,1,1,.,5,590,0.9% higher
Knoxville-Knox County,2,4,.,2,1323,0.2%
Mid-Cumberland Region,8,10,.,1,920,0.1%
Shelby County (Memphis),3,10,.,2,943,0.2%
Nashville-Davidson County,3,6,.,0,388,0.0%
Northeast Region,2,3,.,0,191,0.0%
South Central Region,3,3,.,1,159,0.6%
Southeast Region,4,5,.,0,714,0.0%
Sullivan County (Tri-Cities),1,2,.,0,357,0.0%
Upper Cumberland Region,4,4,.,3,576,0.5% higher
West Tennessee Region,6,6,.,1,329,0.3%
