Hamilton County (Chattanooga),4,4,.,0,747,0.0%
East Tennessee Region,7,7,.,0,2810,0.0%
Jackson-Madison County,1,1,.,0,580,0.0%
Knoxville-Knox County,4,4,.,1,1194,0.1%
Mid-Cumberland Region,7,10,.,0,384,0.0%
Shelby County (Memphis),1,10,.,0,595,0.0%
Nashville-Davidson County,4,6,.,1,449,0.2% higher
Northeast Region,2,3,.,0,106,0.0%
South Central Region,3,3,.,0,190,0.0%
Southeast Region,4,5,.,0,149,0.0%
Sullivan County (Tri-Cities),2,2,.,0,468,0.0%
Upper Cumberland Region,3,4,.,0,496,0.0%
West Tennessee Region,5,6,.,0,290,0.0%
