Hamilton County (Chattanooga),3,4,.,0,460,0.0% lower
East Tennessee Region,7,7,.,49,2176,2.3% higher
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,7,1054,0.7% lower
Mid-Cumberland Region,6,15,.,2,506,0.4% lower
Shelby County (Memphis),9,11,.,63,1025,6.2% higher
Nashville-Davidson County,2,10,.,6,617,1.0%
Northeast Region,5,5,.,2,449,0.5%
South Central Region,3,3,.,0,204,0.0%
Southeast Region,4,5,.,1,549,0.2% lower
Sullivan County (Tri-Cities),1,1,.,0,362,0.0% lower
Upper Cumberland Region,4,4,.,0,563,0.0% lower
West Tennessee Region,6,6,.,0,342,0.0% lower
