Hamilton County (Chattanooga) 3 4 . 0,328,0.0%,lower
East Tennessee Region 6 9 . 190,2004,9.5%,higher
Jackson-Madison County 1 1 . 39,704,5.5%,
Knoxville-Knox County 3 3 . 36,748,4.8%,
Mid-Cumberland Region 5 15 . 2,194,1.0%,lower
Shelby County (Memphis) 2 4 . 4,255,1.6%,lower
Nashville-Davidson County 4 10 . 10,306,3.3%,
Northeast Region 5 5 . 15,318,4.7%,
South Central Region 3 3 . 1,140,0.7%,lower
Southeast Region 2 4 . 0,60,0.0%,
Sullivan County (Tri-Cities) 2 3 . 7,260,2.7%,
Upper Cumberland Region 4 4 . 2,318,0.6%,lower
West Tennessee Region 6 6 . 3,192,1.6%,lower
