Hamilton County (Chattanooga),1,4,.,0,193,0.0%
East Tennessee Region,5,7,.,21,2022,1.0% lower
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,0,3,.,0,0,0.0% n/a
Mid-Cumberland Region,7,11,.,9,932,1.0%
Shelby County (Memphis),8,12,.,69,1122,6.2% higher
Nashville-Davidson County,2,6,.,3,609,0.5% lower
Northeast Region,3,4,.,0,302,0.0% lower
South Central Region,3,3,.,0,231,0.0%
Southeast Region,4,5,.,0,138,0.0%
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,3,4,.,0,417,0.0% lower
West Tennessee Region,6,6,.,2,315,0.6%
