"Hamilton County (Chattanooga)","3","4",".0","388","0.0%","lower"
"East Tennessee Region","3","7",".0","1401","0.0%","lower"
"Jackson-Madison County","0","1",".0","0","0.0%","n/a"
"Knoxville-Knox County","2","3",".3","690","0.4%","lower"
"Mid-Cumberland Region","6","15",".1","551","0.2%","lower"
"Shelby County (Memphis)","8","11",".73","907","8.1%","higher"
"Nashville-Davidson County","3","10",".1","534","0.2%","lower"
"Northeast Region","2","5",".0","250","0.0%",""
"South Central Region","2","3",".1","168","0.6%",""
"Southeast Region","4","5",".1","195","0.5%",""
"Sullivan County (Tri-Cities)","1","1",".0","283","0.0%",""
"Upper Cumberland Region","4","4",".0","552","0.0%","lower"
"West Tennessee Region","6","6",".0","310","0.0%","lower"

