Hamilton County (Chattanooga),3,4,.,0,266,0.0%
East Tennessee Region,4,7,.,0,1300,0.0%
Jackson-Madison County,1,2,.,1,530,0.2%
Knoxville-Knox County,2,4,.,0,874,0.0%
Mid-Cumberland Region,7,11,.,0,655,0.0%
Shelby County (Memphis),11,12,.,5,1103,0.5% higher
Nashville-Davidson County,2,5,.,0,90,0.0%
Northeast Region,1,3,.,0,68,0.0%
South Central Region,3,3,.,0,170,0.0%
Southeast Region,4,5,.,0,187,0.0%
Sullivan County (Tri-Cities),1,2,.,0,327,0.0%
Upper Cumberland Region,4,4,.,0,594,0.0%
West Tennessee Region,6,6,.,0,326,0.0%
