"","","","","Total","Total","","",""
"","#Sites","Total","","Regional","Regional","","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","","%ILI","toState2"
"HamiltonCounty(Chattanooga)","4","4",".","1","751","","0.1%","lower"
"EastTennesseeRegion","6","7",".","71","2668","","2.7%","higher"
"Jackson-MadisonCounty","1","1",".","8","681","","1.2%",""
"Knoxville-KnoxCounty","0","3",".","0","","0","0.0%","n/a"
"Mid-CumberlandRegion","4","15",".","3","722","","0.4%",""
"ShelbyCounty(Memphis)","7","11",".","0","1100","","0.0%","lower"
"Nashville-DavidsonCounty","3","10",".","4","1025","","0.4%",""
"NortheastRegion","3","5",".","0","154","","0.0%",""
"SouthCentralRegion","3","3",".","0","241","","0.0%",""
"SoutheastRegion","2","5",".","0","358","","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","388","","0.0%",""
"UpperCumberlandRegion","4","4",".","2","627","","0.3%",""
"WestTennesseeRegion","6","6",".","0","357","","0.0%",""
"StateofTennessee","44","75",".","89","9072","","0.98%",""
