"Hamilton County (Chattanooga)","4","4",".9","850","1.1%","lower"
"East Tennessee Region","8","8",".356","3274","10.9%","higher"
"Jackson-Madison County","1","2",".19","584","3.3%","lower"
"Knoxville-Knox County","4","4",".90","1870","4.8%",""
"Mid-Cumberland Region","9","10",".20","1019","2.0%","lower"
"Shelby County (Memphis)","0","5",".0","0","0.0%","n/a"
"Nashville-Davidson County","4","6",".49","1177","4.2%",""
"Northeast Region","3","3",".3","322","0.9%","lower"
"South Central Region","2","3",".1","114","0.9%","lower"
"Southeast Region","5","5",".24","741","3.2%","lower"
"Sullivan County (Tri-Cities)","0","2",".0","0","0.0%","n/a"
"Upper Cumberland Region","4","4",".0","568","0.0%","lower"
"West Tennessee Region","4","6",".0","181","0.0%","lower"

