"Hamilton County (Chattanooga)","4","4","5","644","0.8%",""
"East Tennessee Region","8","8","48","2848","1.7%","higher"
"Jackson-Madison County","1","1","6","468","1.3%",""
"Knoxville-Knox County","4","4","4","1212","0.3%","lower"
"Mid-Cumberland Region","9","9","0","1106","0.0%","lower"
"Shelby County (Memphis)","1","6","0","61","0.0%",""
"Nashville-Davidson County","3","6","35","1061","3.3%","higher"
"Northeast Region","2","2","0","311","0.0%",""
"South Central Region","3","3","0","293","0.0%",""
"Southeast Region","4","4","3","717","0.4%",""
"Sullivan County (Tri-Cities)","1","2","3","355","0.8%",""
"Upper Cumberland Region","4","5","0","493","0.0%","lower"
"West Tennessee Region","6","6","2","395","0.5%",""

