"Hamilton County (Chattanooga)","3","4",".4","680","0.6%",""
"East Tennessee Region","4","7",".14","1187","1.2%",""
"Jackson-Madison County","0","1",".0","0","0.0%","n/a"
"Knoxville-Knox County","1","4",".15","1164","1.3%",""
"Mid-Cumberland Region","5","10",".7","843","0.8%",""
"Shelby County (Memphis)","0","3",".0","0","0.0%","n/a"
"Nashville-Davidson County","2","5",".1","149","0.7%",""
"Northeast Region","2","3",".0","217","0.0%",""
"South Central Region","2","3",".0","148","0.0%",""
"Southeast Region","4","5",".4","438","0.9%",""
"Sullivan County (Tri-Cities)","0","2",".0","0","0.0%","n/a"
"Upper Cumberland Region","4","4",".3","577","0.5%",""
"West Tennessee Region","6","6",".1","319","0.3%",""

