"Hamilton County (Chattanooga)","3","4",".0","320","0.0%",""
"East Tennessee Region","6","8",".3","2947","0.1%",""
"Jackson-Madison County","1","2",".2","578","0.4%",""
"Knoxville-Knox County","2","4",".5","1020","0.5%",""
"Mid-Cumberland Region","8","10",".6","1065","0.6%","higher"
"Shelby County (Memphis)","0","14",".0","0","0.0%",""
"Nashville-Davidson County","3","6",".3","509","0.6%",""
"Northeast Region","2","3",".0","232","0.0%",""
"South Central Region","3","3",".0","214","0.0%",""
"Southeast Region","5","5",".0","723","0.0%",""
"Sullivan County (Tri-Cities)","1","2",".0","372","0.0%",""
"Upper Cumberland Region","4","4",".0","559","0.0%",""
"West Tennessee Region","6","6",".2","327","0.6%",""

