"Hamilton County (Chattanooga)","3","4",".0","458","0.0%",""
"East Tennessee Region","7","8",".5","2307","0.2%",""
"Jackson-Madison County","0","2",".0","0","0.0%","n/a"
"Knoxville-Knox County","4","4",".2","1790","0.1%",""
"Mid-Cumberland Region","9","10",".3","822","0.4%",""
"Shelby County (Memphis)","0","5",".0","0","0.0%","n/a"
"Nashville-Davidson County","3","5",".0","284","0.0%",""
"Northeast Region","3","3",".0","290","0.0%",""
"South Central Region","3","3",".0","212","0.0%",""
"Southeast Region","4","5",".0","824","0.0%",""
"Sullivan County (Tri-Cities)","1","2",".1","375","0.3%",""
"Upper Cumberland Region","2","4",".0","331","0.0%",""
"West Tennessee Region","6","6",".0","324","0.0%",""

