Hamilton County (Chattanooga),3,4,.,10,335,3.0% lower
East Tennessee Region,4,7,.,178,1280,13.9% higher
Jackson-Madison County,1,1,.,12,262,4.6% lower
Knoxville-Knox County,2,4,.,23,349,6.6%
Mid-Cumberland Region,6,10,.,3,174,1.7% lower
Shelby County (Memphis),1,4,.,0,65,0.0% lower
Nashville-Davidson County,1,5,.,25,96,26.0% higher
Northeast Region,2,3,.,0,75,0.0% lower
South Central Region,3,3,.,0,93,0.0% lower
Southeast Region,2,5,.,1,42,2.4%
Sullivan County (Tri-Cities),1,2,.,0,58,0.0% lower
Upper Cumberland Region,3,4,.,2,187,1.1% lower
West Tennessee Region,3,6,.,2,76,2.6%
