"","# Sites",Total,,Regional,Regional,,Compared,
Summary for,reporting,Sites,,ILI,Patients,% ILI,to State2,Year‐round influenza surveillance and testing
Hamilton County (Chattanooga),3,4,.,4,680,0.6%,,SPN sites should submit specimens year‐round from ALL patients meeting the ILI
East Tennessee Region,4,7,.,14,1187,1.2%,,"case definition: Fever > 100°F (37.8°C) plus cough and/or sore throat, in the"
Jackson-Madison County,0,1,.,0,0,0.0% n/a,,absence of a known cause (other than influenza). Case definition is not
Knoxville-Knox County,1,4,.,15,1164,1.3%,,dependent on any test.
Mid-Cumberland Region,5,10,.,7,843,0.8%,,
Shelby County (Memphis),0,3,.,0,0,0.0% n/a,,
Nashville-Davidson County,2,5,.,1,149,0.7%,,"Specimens are critical to be able to TRACK, DETECT and SELECT:"
Northeast Region,2,3,.,0,217,0.0%,,• track the geographic spread and intensity of seasonal influenza viruses
South Central Region,2,3,.,0,148,0.0%,,• detect the emergence of novel influenza viruses or of antiviral resistance in
Southeast Region,4,5,.,4,438,0.9%,,circulating viral strains and
Sullivan County (Tri-Cities),0,2,.,0,0,0.0% n/a,,
Upper Cumberland Region,4,4,.,3,577,0.5%,,• provide data for vaccine strain selections.
West Tennessee Region,6,6,.,1,319,0.3%,,
State of Tennessee,33,57,.,49,5722,0.86%,,"If you have questions, contact your regional or state SPN representative.  The"
"",,,,,,,,TDH specimen submission form dated Oct 2014 should be used.
