week, cfr(%)
1, 2.2282
2, 1.6553
3, 0.86408
4, 2.8689
5, 1.7913
6, 2.6845
7, 4.7476
8, 2.7961
9, 2.4854
10, 2.1650
11, 1.8398
12, 2.0340
13, 1.9466
14, 1.4660
15, 1.6845
16, 2.5922
17, 1.8835
18, 1.5680
19, 0.87379
20, 1.0049
21, 0.99515
22, 1.1359
23, 0.71845
24, 0.57282
25, 0.62621
26, 0.32524
27, 0.22330
28, 0.41748
29, 0.34466
30, 0.36408
31, 0.96602
32, 0.0000
33, 0.0000
34, 0.0000
35, 0.0000
36, 0.0000
37, 0.0000
38, 0.0000
39, 0.0000
40, 0.0000
41, 0.0000
42, 0.0000
43, 0.0000
44, 0.0000
45, 0.0000
46, 0.0000
47, 0.0000
48, 0.0000
