"Year","Month","RDHS","Cases"
2010,"January","Colombo",584
2010,"January","Gampaha",608
2010,"January","Kalutara",121
2010,"January","Kandy",211
2010,"January","Matale",138
2010,"January","N Eliya",28
2010,"January","Galle",36
2010,"January","Matara",36
2010,"January","Jaffna",858
2010,"January","Kilinochchi",0
2010,"January","Mannar",26
2010,"January","Vavuniya",336
2010,"January","Mulativu",0
2010,"January","Batticaloa",305
2010,"January","Ampara",12
2010,"January","Trincomalee",233
2010,"January","Kurunegala",197
2010,"January","Puttalam",208
2010,"January","Apura",267
2010,"January","Polonnaruwa",33
2010,"January","Badulla",71
2010,"January","Moneragala",50
2010,"January","Ratnapura",93
2010,"January","Kegalle",90
2010,"January","Kalmunai",215
2010,"February","Colombo",606
2010,"February","Gampaha",623
2010,"February","Kalutara",124
2010,"February","Kandy",174
2010,"February","Matale",113
2010,"February","N Eliya",11
2010,"February","Galle",79
2010,"February","Matara",44
2010,"February","Jaffna",878
2010,"February","Kilinochchi",0
2010,"February","Mannar",23
2010,"February","Vavuniya",91
2010,"February","Mulativu",0
2010,"February","Batticaloa",314
2010,"February","Ampara",13
2010,"February","Trincomalee",283
2010,"February","Kurunegala",142
2010,"February","Puttalam",189
2010,"February","Apura",296
2010,"February","Polonnaruwa",42
2010,"February","Badulla",68
2010,"February","Moneragala",39
2010,"February","Ratnapura",141
2010,"February","Kegalle",136
2010,"February","Kalmunai",174
2010,"March","Colombo",294
2010,"March","Gampaha",306
2010,"March","Kalutara",119
2010,"March","Kandy",116
2010,"March","Matale",35
2010,"March","N Eliya",15
2010,"March","Galle",86
2010,"March","Matara",41
2010,"March","Jaffna",170
2010,"March","Kilinochchi",0
2010,"March","Mannar",14
2010,"March","Vavuniya",40
2010,"March","Mulativu",0
2010,"March","Batticaloa",202
2010,"March","Ampara",25
2010,"March","Trincomalee",145
2010,"March","Kurunegala",99
2010,"March","Puttalam",86
2010,"March","Apura",131
2010,"March","Polonnaruwa",34
2010,"March","Badulla",49
2010,"March","Moneragala",55
2010,"March","Ratnapura",234
2010,"March","Kegalle",76
2010,"March","Kalmunai",71
2010,"April","Colombo",224
2010,"April","Gampaha",205
2010,"April","Kalutara",114
2010,"April","Kandy",89
2010,"April","Matale",46
2010,"April","N Eliya",6
2010,"April","Galle",115
2010,"April","Matara",29
2010,"April","Jaffna",145
2010,"April","Kilinochchi",1
2010,"April","Mannar",16
2010,"April","Vavuniya",14
2010,"April","Mulativu",0
2010,"April","Batticaloa",184
2010,"April","Ampara",19
2010,"April","Trincomalee",60
2010,"April","Kurunegala",54
2010,"April","Puttalam",50
2010,"April","Apura",48
2010,"April","Polonnaruwa",50
2010,"April","Badulla",47
2010,"April","Moneragala",67
2010,"April","Ratnapura",270
2010,"April","Kegalle",49
2010,"April","Kalmunai",57
2010,"May","Colombo",296
2010,"May","Gampaha",295
2010,"May","Kalutara",185
2010,"May","Kandy",114
2010,"May","Matale",35
2010,"May","N Eliya",14
2010,"May","Galle",83
2010,"May","Matara",28
