"year","Month","Week.Ending","Week","Cases"
"2010"," January "," 08.01.2010 ",1,1481
"2010"," January "," 15.01.2010 ",2,1190
"2010"," January "," 22.01.2010 ",3,1345
"2010"," January "," 29.01.2010 ",4,789
"2010"," February "," 05.02.2010 ",5,1504
"2010"," February "," 12.02.2010 ",6,1318
"2010"," February "," 19.02.2010 ",7,975
"2010"," February "," 26.02.2010 ",8,934
"2010"," March "," 05.03.2010 ",9,742
"2010"," March "," 12.03.2010 ",10,632
"2010"," March "," 19.03.2010 ",11,663
"2010"," March "," 26.03.2010 ",12,491
"2010"," April "," 02.04.2010 ",13,345
"2010"," April "," 09.04.2010 ",14,367
"2010"," April "," 16.04.2010 ",15,254
"2010"," April "," 23.04.2010 ",16,610
"2010"," April "," 30.04.2010 ",17,428
"2010"," May "," 07.05.2010 ",18,455
"2010"," May "," 14.05.2010 ",19,438
"2010"," May "," 21.05.2010 ",20,525
"2010"," May "," 28.05.2010 ",21,532
"2010"," June "," 04.06.2010 ",22,830
"2010"," June "," 11.06.2010 ",23,836
"2010"," June "," 18.06.2010 ",24,853
"2010"," June "," 25.06.2010 ",25,918
"2010"," July "," 02.07.2010 ",26,1357
"2010"," July "," 09.07.2010 ",27,1160
"2010"," July "," 16.07.2010 ",28,1130
"2010"," July "," 23.07.2010 ",29,1371
"2010"," July "," 30.07.2010 ",30,1095
"2010"," August "," 06.08.2010 ",31,1409
"2010"," August "," 13.08.2010 ",32,1103
"2010"," August "," 20.08.2010 ",33,932
"2010"," August "," 27.08.2010 ",34,727
"2010"," September "," 05.09.2010 ",35,713
"2010"," September "," 10.09.2010 ",36,447
"2010"," September "," 17.09.2010 ",37,447
"2010"," September "," 24.09.2010 ",38,256
"2010"," October "," 01.10.2010 ",39,266
"2010"," October "," 08.10.2010 ",40,280
"2010"," October "," 15.10.2010 ",41,221
"2010"," October "," 22.10.2010 ",42,192
"2010"," October "," 29.10.2010 ",43,178
"2010"," November "," 05.11.2010 ",44,143
"2010"," November "," 12.11.2010 ",45,169
"2010"," November "," 19.11.2010 ",46,154
"2010"," November "," 26.11.2010 ",47,181
"2010"," December "," 03.12.2010 ",48,153
"2010"," December "," 10.12.2010 ",49,178
"2010"," December "," 17.12.2010 ",50,154
"2010"," December "," 24.12.2010 ",51,122
"2010"," December "," 31.12.2010 ",52,195
"2011"," January "," 07.01.11 ",1,194
"2011"," January "," 14.01.11 ",2,223
"2011"," January "," 21.01.11 ",3,261
"2011"," January "," 28.01.11 ",4,255
"2011"," February "," 04.02.11 ",5,269
"2011"," February "," 11.02.11 ",6,266
"2011"," February "," 18.02.11 ",7,211
"2011"," February "," 25.02.11 ",8,306
"2011"," March "," 04.03.11 ",9,264
"2011"," March "," 11.03.11 ",10,310
"2011"," March "," 18.03.11 ",11,230
"2011"," March "," 25.03.11 ",12,314
"2011"," April "," 01.04.11 ",13,346
"2011"," April "," 08.04.11 ",14,281
"2011"," April "," 15.04.11 ",15,178
"2011"," April "," 22.04.11 ",16,459
"2011"," April "," 29.04.11 ",17,507
"2011"," May "," 06.05.11 ",18,498
"2011"," May "," 13.05.11 ",19,480
"2011"," May "," 20.05.11 ",20,340
"2011"," May "," 27.05.11 ",21,649
"2011"," June "," 03.06.11 ",22,763
"2011"," June "," 10.06.11 ",23,955
"2011"," June "," 17.06.11 ",24,869
"2011"," June "," 24.06.11 ",25,884
"2011"," July "," 01.07.11 ",26,1126
"2011"," July "," 08.07.11 ",27,1034
"2011"," July "," 15.07.11 ",28,740
"2011"," July "," 22.07.11 ",29,1039
"2011"," July "," 29.07.11 ",30,878
"2011"," August "," 05.08.11 ",31,640
"2011"," August "," 12.08.11 ",32,493
"2011"," August "," 19.08.11 ",33,439
"2011"," August "," 26.08.11 ",34,534
