"City","District","lon","lat"
"Changhua County","Beidou Township",120.5336665,23.869208
"Changhua County","Dacheng Township",NA,NA
"Changhua County","Dacun Township",120.5394232,23.9910777
"Changhua County","Erlin Township",120.4011911,23.9141358
"Changhua County","Ershui Township",120.6257423,23.8062757
"Changhua County","Fangyuan Township",120.3550808,23.9455949
"Changhua County","Fenyuan Township",120.6283561,24.0133127
"Changhua County","Fuxing Township",120.4242401,24.0377011
"Changhua County","Hemei Township",120.5163949,24.1246022
"Changhua County","Huatan Township",120.5624474,24.0288453
"Changhua County","Lukang Township",120.447285,24.0755127
"Changhua County","Other",NA,NA
"Changhua County","Pitou Township",120.4703258,23.8776623
"Changhua County","Puxin Township",NA,NA
"Changhua County","Puyan Township",120.447285,23.9898141
"Changhua County","Shengang Township",120.4933624,24.1724928
"Changhua County","Shetou Township",NA,NA
"Changhua County","Tianwei Township",NA,NA
"Changhua County","Tianzhong Township",120.5854674,23.8525401
"Changhua County","Xianxi Township",120.4530456,24.1331612
"Changhua County","Xihu Township",120.4933624,23.9583265
"Changhua County","Xiushui Township",NA,NA
"Changhua County","Xizhou Township",120.5163949,23.8247844
"Changhua County","Yongjing Township",120.5451797,23.9202279
"Changhua County","Yuanlin Township",120.5854674,23.959574
"Changhua County","Zhutang Township",120.4242401,23.8448257
"Nantou County","Caotun Township",120.7234992,23.9933816
"Nantou County","Guoxing Township",120.8728615,24.0564429
"Nantou County","Jiji Township",NA,NA
"Nantou County","Lugu Township",120.7809676,23.7348372
"Nantou County","Mingjian Township",NA,NA
"Nantou County","Other",NA,NA
"Nantou County","Puli Township",NA,NA
"Nantou County","Ren'ai Township",121.1252135,24.0213745
"Nantou County","Shuili Township",NA,NA
"Nantou County","Xinyi Township",NA,NA
"Nantou County","Yuchi Township",NA,NA
"Nantou County","Zhongliao Township",NA,NA
"Nantou County","Zhushan Township",120.6890055,23.712201
"Taichung City","Beitun District",120.6861019,24.1815237
"Taichung City","Central District",NA,NA
"Taichung City","Da'an District",120.5912217,24.3702355
"Taichung City","Dadu District",120.5624474,24.1358732
"Taichung City","Dajia District",120.6487508,24.3788233
"Taichung City","Dali District",120.6812114,24.1046899
"Taichung City","Daya District",120.6545022,24.2225023
"Taichung City","Dongshi District",120.8272085,24.2599898
"Taichung City","East District",120.6944233,24.1427702
"Taichung City","Fengyuan District",120.7223572,24.2521156
"Taichung City","Heping District",121.3084088,24.3207261
"Taichung City","Houli District",NA,NA
"Taichung City","Longjing District",120.5163949,24.2102428
"Taichung City","Nantun District",120.6084832,24.1471183
"Taichung City","North District",120.6832556,24.1573171
"Taichung City","Other",NA,NA
"Taichung City","Qingshui District",120.5854674,24.301983
"Taichung City","Shalu District",120.5854674,24.2377939
"Taichung City","Shengang District",NA,NA
"Taichung City","Shigang District",120.7771553,24.2742426
"Taichung City","South District",120.6624117,24.1208445
"Taichung City","Taiping District",120.7170701,24.1240719
"Taichung City","Tanzi District",NA,NA
"Taichung City","Waipu District",120.6533224,24.3317733
"Taichung City","West District",NA,NA
"Taichung City","Wufeng District",120.734995,24.0442951
"Taichung City","Wuqi District",120.5394232,24.2479737
"Taichung City","Wuri District",120.6380936,24.107787
"Taichung City","Xinshe District",NA,NA
"Taichung City","Xitun District",120.6424333,24.1769764
"Hualien County","Fengbin Township",NA,NA
"Hualien County","Fenglin Township",121.4570447,23.7443841
"Hualien County","Fuli Township",121.2855249,23.154416
"Hualien County","Guangfu Township",NA,NA
"Hualien County","Ji'an Township",121.5841779,23.9732022
"Hualien County","Other",NA,NA
"Hualien County","Ruisui Township",NA,NA
"Hualien County","Shoufeng Township",NA,NA
"Hualien County","Wanrong Township",NA,NA
"Hualien County","Xincheng Township",121.6043742,24.0327075
"Hualien County","Xiulin Township",121.5370003,24.2258575
"Hualien County","Yuli Township",NA,NA
"Hualien County","Zhuoxi Township",NA,NA
"Taitung County","Beinan Township",NA,NA
"Taitung County","Changbin Township",NA,NA
"Taitung County","Chenggong Township",NA,NA
"Taitung County","Chishang Township",NA,NA
"Taitung County","Daren Township",NA,NA
"Taitung County","Dawu Township",NA,NA
"Taitung County","Donghe Township",121.2855249,23.0691722
"Taitung County","Guanshan Township",NA,NA
"Taitung County","Haiduan Township",121.03351,23.1028073
"Taitung County","Jinfeng Township",NA,NA
"Taitung County","Lanyu Township",NA,NA
"Taitung County","Ludao Township",121.4901443,22.6620886
"Taitung County","Luye Township",NA,NA
"Taitung County","Other",NA,NA
"Taitung County","Taimali Township",NA,NA
"Taitung County","Yanping Township",NA,NA
"Kaohsiung City","Alian District",NA,NA
"Kaohsiung City","Daliao District",120.4011911,22.584481
"Kaohsiung City","Dashe District",120.3608455,22.7377083
"Kaohsiung City","Dashu District",120.4242401,22.708371
"Kaohsiung City","Fengshan District",120.3493158,22.6113591
"Kaohsiung City","Gangshan District",120.2858846,22.8016472
"Kaohsiung City","Gushan District",NA,NA
"Kaohsiung City","Hunei District",NA,NA
"Kaohsiung City","Jiaxian District",120.6314948,23.114592
"Kaohsiung City","Lingya District",NA,NA
"Kaohsiung City","Linyuan District",120.4011911,22.4986756
"Kaohsiung City","Liugui District",120.6545022,23.0026195
"Kaohsiung City","Luzhu District",120.2628111,22.8494042
"Kaohsiung City","Maolin District",120.734995,22.9319405
"Kaohsiung City","Meinong District",120.5509358,22.885385
"Kaohsiung City","Mituo District",120.2455033,22.7832231
"Kaohsiung City","Namaxia District",120.734995,23.2742978
"Kaohsiung City","Nanzi District",120.3031871,22.7175372
"Kaohsiung City","Neimen District",120.4703258,22.9560087
"Kaohsiung City","Niaosong District",120.3723741,22.6602052
"Kaohsiung City","Other",NA,NA
"Kaohsiung City","Qianjin District",120.2945362,22.6254162
"Kaohsiung City","Qianzhen District",120.3147208,22.5970794
"Kaohsiung City","Qiaotou District",120.3089541,22.7539012
"Kaohsiung City","Qieding District",120.2108809,22.8763476
"Kaohsiung City","Qijin District",120.2659394,22.6141771
"Kaohsiung City","Qishan District",120.4703258,22.8702492
"Kaohsiung City","Renwu District",120.3608455,22.6947932
"Kaohsiung City","Sanmin District",NA,NA
"Kaohsiung City","Shanlin District",120.5624474,23.0007902
"Kaohsiung City","Taoyuan District",120.8498944,23.2280755
"Kaohsiung City","Tianliao District",120.4011911,22.8633474
"Kaohsiung City","Xiaogang District",120.3608455,22.5553185
"Kaohsiung City","Xinxing District",NA,NA
"Kaohsiung City","Yanchao District",NA,NA
"Kaohsiung City","Yancheng District",120.2830007,22.6224414
"Kaohsiung City","Yong'an District",120.2397336,22.8112691
"Kaohsiung City","Ziguan District",NA,NA
"Kaohsiung City","Zuoying District",120.2916524,22.6877358
"Penghu County","Baisha Township",NA,NA
"Penghu County","Huxi Township",NA,NA
"Penghu County","Other",NA,NA
"Penghu County","Qimei Township",119.4353441,23.2087756
"Penghu County","Wang'an Township",119.5,23.3833333
"Penghu County","Xiyu Township",119.5136711,23.6054584
"Pingtung County","Changzhi Township",120.5624474,22.700828
"Pingtung County","Chaozhou Township",NA,NA
"Pingtung County","Checheng Township",120.7464897,22.0843074
"Pingtung County","Chunri Township",NA,NA
"Pingtung County","Donggang Township",NA,NA
"Pingtung County","Fangliao Township",NA,NA
"Pingtung County","Fangshan Township",NA,NA
"Pingtung County","Gaoshu Township",120.6003824,22.8254924
"Pingtung County","Hengchun Township",NA,NA
"Pingtung County","Jiadong Township",120.5394232,22.427078
"Pingtung County","Jiuru Township",120.4703258,22.7416068
"Pingtung County","Kanding Township",120.4991209,22.5158427
