"Influenza Season","Influenza Mortality per 100000"
"1930.03247","35.46976"
"1931.09192","28.31772"
"1932.05847","42.95358"
"1934.00940","28.84030"
"1935.02161","31.65253"
"1936.03809","39.32769"
"1936.53369","28.79102"
"1937.02759","16.34731"
"1938.09790","21.49562"
"1939.16162","19.11115"
"1940.11743","21.54201"
"1941.11707","10.05150"
"1942.12732","10.76600"
"1943.09094","22.11223"
"1944.14392","7.52276"
"1945.10071","11.09784"
"1946.05078","7.04479"
"1947.00256","4.94644"
"1948.12292","3.22940"
"1949.13367","4.32530"
"1950.14343","4.42001"
"1951.15259","3.70424"
"1952.16418","5.84900"
"1953.11426","1.79596"
"1956.19910","1.26956"
"1957.21228","5.32136"
"1958.16272","1.64972"
"1959.23071","4.08051"
"1960.23779","1.07629"
"1961.19202","1.79082"
"1962.14734","3.64957"
"1963.21082","0.97905"
"1964.33276","1.12136"
"1965.17456","1.45456"
"1966.18347","0.54808"
"1968.26221","4.17012"
"1969.26978","1.69033"
"1970.16638","0.73625"
"1971.23364","2.35655"
"1972.24341","2.45126"
"1973.25183","0.97266"
"1975.27356","3.54587"
"1976.22461","0.54169"
"1977.29163","1.87594"
"1978.24390","0.34971"
"1980.32056","1.63563"
"1981.27307","0.34778"
"1982.39514","0.63312"
"1983.23645","0.48956"
"1984.41479","0.87022"
"1985.25623","0.77433"
"1986.32166","0.29690"
"1987.38794","0.86833"
"1988.34131","0.58167"
"1989.40747","0.96240"
"1990.36035","0.19898"
"1991.42651","0.57970"
"1992.43604","0.29301"
"1993.38989","0.57846"
"1994.39929","0.19641"
"1995.46509","0.19573"
"1996.30664","0.33822"
"1997.93384","0.81395"
"1999.44897","1.38509"
"2000.34546","0.19263"
"2002.36536","0.71578"
"2003.43164","1.23954"
