id,x,y
25,498.67,225.33
25,488.33,193.67
25,479.67,181.00
25,468.33,164.00
25,453.67,140.67
25,441.67,119.33
25,425.33,89.67
25,411.33,63.33
25,400.00,37.67
25,385.67,12.00
25,379.33,0.00
24,502.50,226.75
24,496.73,200.91
24,487.50,166.50
24,475.25,131.25
24,464.25,97.25
24,450.50,61.25
24,439.17,31.25
24,431.75,10.75
24,427.58,0.75
23,507.00,227.50
23,505.50,199.50
23,501.50,171.00
23,496.50,132.00
23,489.50,94.00
23,484.50,61.50
23,481.00,29.00
23,477.00,0.00
22,511.33,225.67
22,511.33,197.33
22,509.67,162.67
22,507.67,128.33
22,505.00,95.67
22,502.33,64.00
22,498.67,36.00
22,495.67,0.67
21,519.33,228.00
21,520.67,214.00
21,522.67,194.00
21,525.00,166.00
21,527.33,146.67
21,530.00,119.00
21,535.00,79.00
21,537.67,54.33
21,541.67,24.67
21,544.67,0.00
20,522.00,229.33
20,528.00,193.33
20,534.67,159.33
20,545.33,111.33
20,553.33,76.67
20,561.33,46.00
20,568.67,16.00
20,572.00,0.00
19,525.33,228.00
19,534.00,203.33
19,550.00,174.67
19,566.00,141.33
19,582.00,108.67
19,599.33,73.33
19,620.00,33.33
19,641.33,0.00
18,526.67,230.67
18,534.67,212.67
18,548.00,194.00
18,559.33,176.00
18,571.33,154.00
18,582.67,134.67
18,598.67,102.00
18,625.33,57.33
18,649.33,18.67
18,660.67,0.00
17,535.33,232.00
17,546.00,219.33
17,564.00,197.33
17,584.00,176.00
17,613.33,147.33
17,645.33,116.00
17,672.00,86.67
17,700.00,58.67
17,723.33,34.67
17,756.67,0.00
16,547.00,442.67
16,555.00,449.00
16,563.00,453.00
16,573.33,457.67
16,581.00,464.00
16,592.00,469.67
16,606.67,479.00
16,635.67,490.67
16,678.33,516.33
16,709.00,533.33
16,740.00,550.33
16,768.00,566.67
16,803.33,587.67
16,843.50,613.00
16,879.50,637.50
16,931.33,676.67
15,540.73,445.82
15,570.00,463.09
15,596.18,480.55
15,618.75,498.00
15,646.75,517.00
15,685.00,545.75
15,722.00,574.00
15,772.67,614.00
15,816.67,650.00
15,848.67,676.67
14,537.33,445.67
14,561.67,465.00
14,592.33,492.67
14,622.67,520.67
14,654.67,548.33
14,691.67,580.00
14,730.50,614.00
14,776.50,653.50
14,802.50,676.00
13,524.00,449.50
13,539.23,464.45
13,548.50,474.50
13,565.32,494.36
13,587.41,523.32
13,618.50,568.00
13,649.50,606.50
13,683.00,649.00
13,704.00,676.00
12,517.50,450.00
12,531.00,471.50
12,553.50,514.00
12,573.50,550.00
12,599.50,599.00
12,618.00,634.00
12,632.50,663.00
12,639.50,676.50
11,516.00,450.25
11,525.25,473.75
11,541.50,512.50
11,558.50,551.25
11,569.25,577.00
11,588.50,623.75
11,607.00,667.00
11,611.50,676.00
10,511.50,451.75
10,520.25,471.50
10,535.50,509.50
10,551.50,551.75
10,564.67,586.67
10,582.00,633.33
10,593.33,663.33
10,598.00,676.67
9,504.00,450.67
9,508.00,466.00
9,510.67,479.33
9,515.33,503.33
9,520.67,534.67
9,524.00,554.67
9,530.00,587.33
9,532.67,606.00
9,536.67,630.00
9,540.00,651.33
9,543.33,676.00
8,501.33,450.67
8,504.67,478.00
8,507.33,508.67
8,513.33,556.00
8,516.67,592.67
8,520.67,635.33
8,521.33,660.00
8,522.00,676.00
7,496.67,450.17
7,496.75,478.00
7,497.33,500.67
7,497.00,522.00
7,495.33,553.33
7,495.33,586.00
7,493.33,622.67
7,491.33,646.67
7,486.67,676.00
6,486.67,451.33
6,482.00,472.67
6,472.67,504.67
6,464.67,530.00
6,452.00,566.67
6,441.33,596.67
6,429.33,628.00
6,419.33,659.33
6,413.33,676.00
5,482.67,450.67
5,477.33,471.33
5,468.67,500.00
5,454.67,532.67
5,434.67,580.00
5,414.67,622.67
5,395.33,662.67
5,389.33,675.33
4,479.33,448.67
4,473.33,471.33
4,460.67,501.33
4,438.67,542.00
4,414.00,586.00
4,391.33,622.67
4,366.00,665.33
4,358.67,675.33
3,466.67,447.33
3,460.00,456.67
3,451.33,466.67
3,441.33,475.33
3,426.00,487.33
3,412.00,496.67
3,388.67,514.00
3,360.00,537.33
3,323.33,570.67
3,274.00,611.33
3,233.33,644.67
3,199.33,675.33
2,460.00,445.33
2,452.67,456.67
2,438.67,470.67
2,414.00,484.67
2,394.67,496.67
2,375.33,506.67
2,343.33,522.67
2,311.33,540.00
2,284.00,557.33
2,256.67,578.00
2,217.33,604.00
2,192.67,621.33
2,166.67,643.33
2,140.00,664.67
2,125.33,676.67
1,458.67,444.67
1,446.00,453.33
1,427.67,465.00
1,413.33,470.00
1,397.33,475.00
1,378.33,480.67
1,357.67,486.33
1,338.00,492.00
1,311.33,500.67
1,283.33,508.67
1,252.00,519.00
1,222.00,529.00
1,188.00,543.33
1,157.33,555.33
1,113.33,574.00
1,74.67,588.67
1,40.00,604.00
1,23.33,612.00
