0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,17.39,6.52,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,42,28,6,28,1,92,DEN,0,16,Preliminar,2015
0,,,,,6,Antigua and Barbuda,Antigua y Barbuda,,42,28,,-,1,95,  ,,,Preliminar,2018
0,39.36,3.19,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,42,28,3,36,1,94,DEN 2,0,37,Preliminar,2016
0,1.05,0.00,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,42,28,0,42,1,95,DEN,0,1,Preliminar,2017
0,3.54,0.00,0,0.000,6,Bahamas,Bahamas,0,42,44,0,36,1,395,DEN,0,14,Preliminar,2017
0,2.32,0.26,0,0.000,6,Bahamas,Bahamas,0,42,44,1,30,1,388,DEN,0,9,Preliminar,2015
0,,,,,6,Bahamas,Bahamas,,42,44,,-,1,395,  ,,,Preliminar,2018
0,226.97,19.34,0,0.000,6,Bahamas,Bahamas,0,42,44,76,29,1,393,DEN,0,892,Preliminar,2016
0,,,,,6,Barbados,Barbados,,42,52,,-,1,292,  ,,,Preliminar,2018
0,33.33,5.50,0,0.000,6,Barbados,Barbados,0,42,52,16,32,1,291,DEN 1,0,97,Preliminar,2015
0,473.88,137.80,0,0.000,6,Barbados,Barbados,0,42,52,401,40,1,291,DEN,0,1379,Preliminar,2016
0,136.30,29.11,0,0.000,6,Barbados,Barbados,0,42,52,85,40,1,292,DEN,0,398,Preliminar,2017
0,739.73,11.47,0.072098053,0.000,2,Belize,Belice,0,42,84,43,42,1,375,DEN,2,2774,Preliminar,2017
0,80.46,31.61,0,0.000,2,Belize,Belice,0,42,84,110,32,1,348,DEN 2,0,280,Preliminar,2015
0,,,,,2,Belize,Belice,,42,84,,-,1,375,  ,,,Preliminar,2018
0,15.26,0.27,0,0.000,2,Belize,Belice,0,42,84,1,32,1,367,DEN 3,0,56,Preliminar,2016
0,,,,,6,Virgin Islands (UK),Islas Vírgenes (RU),,42,92,,-,1,35,  ,,,Preliminar,2018
0,312.12,312.12,0.970873786,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,42,92,103,40,1,33,DEN,1,103,Preliminar,2015
0,247.06,238.24,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,42,92,81,40,1,34,DEN,0,84,Preliminar,2016
0,120.00,120.00,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,42,92,42,32,1,35,DEN,0,42,Preliminar,2017
0,,,,,1,Canada,Canadá,0,42,124,0,42,1,0,  ,0,0,Final,2016
0,,,,,1,Canada,Canadá,0,42,124,0,42,1,0,  ,0,0,Preliminar,2017
0,,,,,1,Canada,Canadá,0,42,124,0,42,1,0,  ,0,0,Preliminar,2015
0,,,,,1,Canada,Canadá,0,42,124,0,3,1,0,  ,0,0,Preliminar,2018
0,189.47,1.75,0,0.000,6,Cayman Islands,Islas Caimán,0,42,136,1,36,1,57,DEN 3,0,108,Preliminar,2016
0,39.66,0.00,0,0.000,6,Cayman Islands,Islas Caimán,0,42,136,0,40,1,58,DEN,0,23,Preliminar,2017
0,,,,,6,Cayman Islands,Islas Caimán,,42,136,,-,1,58,  ,,,Preliminar,2018
0,414.39,0.00,0,0.000,2,Costa Rica,Costa Rica,0,42,188,0,42,1,4857,"DEN 1,2,3",0,20127,Final,2016
0,102.24,,0,0.000,2,Costa Rica,Costa Rica,0,42,188,,42,1,4906,"DEN 1,2",0,5016,final,2017
0,180.73,0.00,0.066371681,0.000,2,Costa Rica,Costa Rica,0,42,188,0,42,1,5002,"DEN 1,2,3",6,9040,Final,2015
0,,,,,2,Costa Rica,Costa Rica,,42,188,,-,1,4906,  ,,,Preliminar,2018
0,44.59,0.00,0,0.000,6,Dominica,Dominica,0,42,212,0,28,1,74,DEN,0,33,Preliminar,2017
0,33.78,2.70,0,0.000,6,Dominica,Dominica,0,42,212,2,24,1,74,DEN,0,25,Preliminar,2015
0,,,,,6,Dominica,Dominica,,42,212,,-,1,74,  ,,,Preliminar,2018
0,381.08,0.00,0,0.000,6,Dominica,Dominica,0,42,212,0,32,1,74,DEN,0,282,Preliminar,2016
0,429.73,0.00,0,0.000,6,Dominica,Dominica,0,42,212,0,32,1,74,0,0,318,Preliminar,2016
0,55.47,2.85,0.169587337,0.000,2,El Salvador,El Salvador,0,42,222,182,42,1,6378,DEN 2,6,3538,Preliminar,2017
0,617.82,136.87,0.808543865,0.008,2,El Salvador,El Salvador,3,42,222,8795,42,1,6426,"DEN 1,2,3",321,39701,Preliminar,2015
0,2.56,0.13,0,0.000,2,El Salvador,El Salvador,0,42,222,8,3,1,6378,DEN,0,163,Preliminar,2018
0,129.16,1.81,2.355757118,0.013,2,El Salvador,El Salvador,1,42,222,111,42,1,6146,DEN 2,187,7938,Final,2016
0,9.91,9.91,0,0.000,6,Grenada,Granada,0,42,308,11,32,1,111,DEN,0,11,Preliminar,2015
0,,,,,6,Grenada,Granada,,42,308,,-,1,112,  ,,,Preliminar,2018
0,130.63,54.05,0,0.000,6,Grenada,Granada,0,42,308,60,40,1,111,DEN 1,0,145,Preliminar,2016
0,107.14,107.14,0,0.000,6,Grenada,Granada,0,42,308,120,36,1,112,DEN,0,120,Preliminar,2017
