0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,17.39,6.52,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,28,28,6,28,1,92,DEN,0,16,Preliminar,2015
0,,,,,6,Antigua and Barbuda,Antigua y Barbuda,,28,28,,-,1,95,  ,,,Preliminar,2018
0,39.36,3.19,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,28,28,3,28,1,94,DEN 2,0,37,Preliminar,2016
0,1.05,0.00,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,28,28,0,28,1,95,DEN,0,1,Preliminar,2017
0,1.01,0.00,0,0.000,6,Bahamas,Bahamas,0,28,44,0,28,1,395,DEN,0,4,Preliminar,2017
0,1.29,0.26,0,0.000,6,Bahamas,Bahamas,0,28,44,1,12,1,388,DEN,0,5,Preliminar,2015
0,,,,,6,Bahamas,Bahamas,,28,44,,-,1,395,  ,,,Preliminar,2018
0,19.85,0.00,0,0.000,6,Bahamas,Bahamas,0,28,44,0,28,1,393,DEN,0,78,Preliminar,2016
0,,,,,6,Barbados,Barbados,,28,52,,-,1,292,  ,,,Preliminar,2018
0,33.33,5.50,0,0.000,6,Barbados,Barbados,0,28,52,16,20,1,291,DEN 1,0,97,Preliminar,2015
0,378.35,82.82,0,0.000,6,Barbados,Barbados,0,28,52,241,24,1,291,DEN,0,1101,Preliminar,2016
0,65.75,9.93,0,0.000,6,Barbados,Barbados,0,28,52,29,28,1,292,DEN,0,192,Preliminar,2017
0,553.60,5.07,0.096339114,0.000,2,Belize,Belice,0,28,84,19,28,1,375,DEN,2,2076,Preliminar,2017
0,31.61,31.61,0,0.000,2,Belize,Belice,0,28,84,110,16,1,348,DEN 2,0,110,Preliminar,2015
0,,,,,2,Belize,Belice,,28,84,,-,1,375,  ,,,Preliminar,2018
0,15.26,0.27,0,0.000,2,Belize,Belice,0,28,84,1,25,1,367,DEN 3,0,56,Preliminar,2016
0,,,,,6,Virgin Islands (UK),Islas Vírgenes (RU),,28,92,,-,1,35,  ,,,Preliminar,2018
0,118.18,81.82,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,28,92,27,20,1,33,DEN,0,39,Preliminar,2015
0,152.94,152.94,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,28,92,52,24,1,34,DEN,0,52,Preliminar,2016
0,80.00,80.00,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,28,92,28,20,1,35,DEN,0,28,Preliminar,2017
0,,,,,1,Canada,Canadá,0,28,124,0,28,1,0,  ,0,0,Final,2016
0,,,,,1,Canada,Canadá,0,28,124,0,28,1,0,  ,0,0,Preliminar,2017
0,,,,,1,Canada,Canadá,0,28,124,0,28,1,0,  ,0,0,Preliminar,2015
0,,,,,1,Canada,Canadá,0,28,124,0,3,1,0,  ,0,0,Preliminar,2018
0,68.42,1.75,0,0.000,6,Cayman Islands,Islas Caimán,0,28,136,1,24,1,57,DEN 3,0,39,Preliminar,2016
0,39.66,0.00,0,0.000,6,Cayman Islands,Islas Caimán,0,28,136,0,28,1,58,DEN,0,23,Preliminar,2017
0,,,,,6,Cayman Islands,Islas Caimán,,28,136,,-,1,58,  ,,,Preliminar,2018
0,235.00,0.00,0,0.000,2,Costa Rica,Costa Rica,0,28,188,0,28,1,4857,"DEN 1,2,3",0,11414,Final,2016
0,61.11,,0,0.000,2,Costa Rica,Costa Rica,0,28,188,,28,1,4906,"DEN 1,2",0,2998,final,2017
0,52.50,0.00,0,0.000,2,Costa Rica,Costa Rica,0,28,188,0,28,1,5002,"DEN 1,2,3",0,2626,Final,2015
0,,,,,2,Costa Rica,Costa Rica,,28,188,,-,1,4906,  ,,,Preliminar,2018
0,44.59,0.00,0,0.000,6,Dominica,Dominica,0,28,212,0,28,1,74,DEN,0,33,Preliminar,2017
0,33.78,2.70,0,0.000,6,Dominica,Dominica,0,28,212,2,24,1,74,DEN,0,25,Preliminar,2015
0,,,,,6,Dominica,Dominica,,28,212,,-,1,74,  ,,,Preliminar,2018
0,317.57,0.00,0,0.000,6,Dominica,Dominica,0,28,212,0,24,1,74,DEN,0,235,Preliminar,2016
0,347.30,0.00,0,0.000,6,Dominica,Dominica,0,28,212,0,24,1,74,0,0,257,Preliminar,2016
0,35.53,0.93,0,0.000,2,El Salvador,El Salvador,0,28,222,59,28,1,6378,DEN 2,0,2266,Preliminar,2017
0,191.63,33.80,0.576579503,0.000,2,El Salvador,El Salvador,0,28,222,2172,28,1,6426,"DEN 1,2,3",71,12314,Preliminar,2015
0,2.56,0.13,0,0.000,2,El Salvador,El Salvador,0,28,222,8,3,1,6378,DEN,0,163,Preliminar,2018
0,102.36,1.16,2.432045780,0.016,2,El Salvador,El Salvador,1,28,222,71,28,1,6146,DEN 2,153,6291,Final,2016
0,6.31,6.31,0,0.000,6,Grenada,Granada,0,28,308,7,20,1,111,DEN,0,7,Preliminar,2015
0,,,,,6,Grenada,Granada,,28,308,,-,1,112,  ,,,Preliminar,2018
0,103.60,21.62,0,0.000,6,Grenada,Granada,0,28,308,24,28,1,111,DEN 1,0,115,Preliminar,2016
0,71.43,71.43,0,0.000,6,Grenada,Granada,0,28,308,80,28,1,112,DEN,0,80,Preliminar,2017
0,,,,,2,Guatemala,Guatemala,,28,320,,-,1,16914,  ,,,Preliminar,2018
0,54.27,1.40,0.068011789,0.045,2,Guatemala,Guatemala,4,28,320,227,27,1,16255,"DEN 1,2,3,4",6,8822,Preliminar,2015
0,24.28,1.96,0.568041492,0.000,2,Guatemala,Guatemala,0,28,320,326,27,1,16673,"DEN 1,2,3,4",23,4049,Preliminar,2016
0,9.76,,0,0.000,2,Guatemala,Guatemala,0,28,320,,28,1,16914,"DEN 1,2,3,4",0,1651,Preliminar,2017
0,39.30,39.30,0,0.000,6,Guyana,Guyana,0,28,328,303,16,1,771,DEN,0,303,Preliminar,2016
0,,,,,6,Guyana,Guyana,,28,328,,-,1,778,  ,,,Preliminar,2017
0,17.57,17.57,0,0.000,6,Guyana,Guyana,0,28,328,142,24,1,808,DEN,0,142,Preliminar,2015
0,,,,,6,Guyana,Guyana,,28,328,,-,1,778,  ,,,Preliminar,2018
0,0.53,0.00,0,0.000,6,Haiti,Haití,0,28,332,0,22,1,10604,"DEN 1,2,3,4",0,56,Preliminar,2015
0,,,,,6,Haiti,Haití,,28,332,,-,1,10981,  ,,,Preliminar,2018
0,,,,,6,Haiti,Haití,,28,332,,-,1,10848,  ,,,Preliminar,2016
0,,,,,6,Haiti,Haití,,28,332,,-,1,10981,  ,,,Preliminar,2017
0,205.90,1.05,1.316491727,0.006,2,Honduras,Honduras,1,28,340,86,28,1,8190,DEN,222,16863,Preliminar,2016
0,37.10,0.00,1.687518184,0.000,2,Honduras,Honduras,0,28,340,0,28,1,9265,"DEN 1,2,3",58,3437,Preliminar,2017
0,372.80,0.00,2.063365706,0.000,2,Honduras,Honduras,0,28,340,0,28,1,8424,DEN,648,31405,Preliminar,2015
0,1.64,0.00,5.921052632,0.000,2,Honduras,Honduras,0,28,340,0,3,1,9265,DEN,9,152,Preliminar,2018
0,2.21,0.38,0,0.000,6,Jamaica,Jamaica,0,28,388,11,28,1,2890,DEN 3,0,64,Preliminar,2017
0,1.03,0.11,0,0.000,6,Jamaica,Jamaica,0,28,388,3,27,1,2813,DEN 4,0,29,Preliminar,2015
0,,,,,6,Jamaica,Jamaica,,28,388,,-,1,2890,  ,,,Preliminar,2018
0,48.31,3.64,0.147710487,0.000,6,Jamaica,Jamaica,0,28,388,102,28,1,2803,"DEN 3,4",2,1354,Preliminar,2016
0,0.50,0.01,0,0.000,2,Mexico,México,0,28,484,17,3,1,129163,"DEN 1,2",0,649,Preliminar,2018
0,49.12,5.70,2.288686606,0.018,2,Mexico,México,11,28,484,7136,28,1,125236,"DEN 1,2,3,4",1408,61520,Preliminar,2015
0,31.04,4.27,3.315553552,0.025,2,Mexico,México,10,28,484,5499,28,1,128632,"DEN 1,2,3,4",1324,39933,Final,2016
0,16.19,2.03,0.516449885,0.043,2,Mexico,México,9,28,484,2622,28,1,129163,"DEN 1,2,3,4",108,20912,Preliminar,2017
0,0.00,0.00,,,6,Montserrat,Montserrat,0,28,500,0,28,1,5,  ,0,0,Preliminar,2017
0,,,,,6,Montserrat,Montserrat,,28,500,,-,1,5,  ,,,Preliminar,2018
0,0.00,0.00,,,6,Montserrat,Montserrat,0,28,500,0,24,1,5,  ,0,0,Preliminar,2015
0,80.00,0.00,0,0.000,6,Montserrat,Montserrat,0,28,500,0,28,1,5,DEN,0,4,Preliminar,2016
0,,,,,6,Curaçao,Curazao,,28,531,,-,1,150,  ,,,Preliminar,2018
0,,,,,6,Curaçao,Curazao,,28,531,,-,1,150,  ,,,Preliminar,2017
0,598.26,7.83,0,,6,Aruba,Aruba,,28,533,9,28,1,115,DEN,0,688,Preliminar,2017
0,,,,,6,Aruba,Aruba,,28,533,,-,1,115,  ,,,Preliminar,2018
0,,,,,6,Aruba,Aruba,,28,533,,-,1,112,  ,,,Preliminar,2015
0,645.61,50.88,0,0.000,6,Aruba,Aruba,0,28,533,58,24,1,114,DEN,0,736,Preliminar,2016
0,,,,,6,"Bonaire, Saint Eustatius and Saba","Bonaire, San Eustaquio y Saba",,28,535,,-,1,26,  ,,,Preliminar,2017
0,,,,,6,"Bonaire, Saint Eustatius and Saba","Bonaire, San Eustaquio y Saba",,28,535,,-,1,26,  ,,,Preliminar,2018
0,650.13,62.08,0,0.033,2,Nicaragua,Nicaragua,13,28,558,3818,27,1,6150,DEN 2,0,39983,Preliminar,2016
0,598.70,23.58,,0.005,2,Nicaragua,Nicaragua,2,28,558,1466,28,1,6218,DEN 2,,37227,Preliminar,2017
0,251.89,4.62,0.006344775,0.006,2,Nicaragua,Nicaragua,1,28,558,289,28,1,6257,"DEN 2,3",1,15761,Preliminar,2015
0,30.73,0.90,,0.000,2,Nicaragua,Nicaragua,0,28,558,56,3,1,6218,DEN,,1911,Preliminar,2018
0,,,,,2,Panama,Panamá,,28,591,,-,1,4099,  ,,,Preliminar,2018
0,24.82,14.77,0.101010101,0.000,2,Panama,Panamá,0,28,591,589,28,1,3988,"DEN 1,2,3",1,990,Preliminar,2015
0,30.78,14.74,0.325732899,0.244,2,Panama,Panamá,3,28,591,588,27,1,3990,"DEN 1,2,3",4,1228,Preliminar,2016
0,90.22,40.52,0.243374797,0.000,2,Panama,Panamá,0,28,591,1661,28,1,4099,"DEN 1,2",9,3698,Preliminar,2017
0,0.25,0.25,0,0.000,5,Puerto Rico,Puerto Rico,0,28,630,9,28,1,3663,DEN 2,0,9,Preliminar,2017
0,0.00,0.00,,,5,Puerto Rico,Puerto Rico,0,28,630,0,3,1,3663,  ,0,0,Preliminar,2018
0,26.74,0.68,0,0.000,5,Puerto Rico,Puerto Rico,0,28,630,25,28,1,3680,"DEN 1,2,3,4",0,984,Preliminar,2015
0,4.48,4.48,0,0.000,5,Puerto Rico,Puerto Rico,0,28,630,165,28,1,3681,"DEN 1,2,3,4",0,165,Final,2016
0,366.67,0.00,0,0.000,6,Saint Barthelemy,San Bartolomé,0,28,652,0,28,1,9,DEN,0,33,Preliminar,2017
0,88.89,88.89,0,0.000,6,Saint Barthelemy,San Bartolomé,0,28,652,8,25,1,9,DEN,0,8,Preliminar,2015
0,,,,,6,Saint Barthelemy,San Bartolomé,,28,652,,-,1,9,  ,,,Preliminar,2018
0,"6,444.44","1,011.11",0,0.000,6,Saint Barthelemy,San Bartolomé,0,28,652,91,16,1,9,DEN 1,0,580,Preliminar,2016
0,16.98,0.00,0,0.000,6,Saint Kitts and Nevis,Saint Kitts y Nevis,0,28,659,0,28,1,53,DEN,0,9,Preliminar,2017
0,9.62,1.92,0,0.000,6,Saint Kitts and Nevis,Saint Kitts y Nevis,0,28,659,1,24,1,52,DEN,0,5,Preliminar,2015
0,,,,,6,Saint Kitts and Nevis,Saint Kitts y Nevis,,28,659,,-,1,53,  ,,,Preliminar,2018
0,44.23,0.00,0,0.000,6,Saint Kitts and Nevis,Saint Kitts y Nevis,0,28,659,0,24,1,52,DEN,0,23,Preliminar,2016
0,,,,,6,Anguilla,Anguila,,28,660,,-,1,17,  ,,,Preliminar,2018
0,58.82,0.00,0,0.000,6,Anguilla,Anguila,0,28,660,0,28,1,17,DEN,0,10,Preliminar,2016
0,105.88,11.76,0,,6,Anguilla,Anguila,,28,660,2,28,1,17,DEN,0,18,Preliminar,2017
0,50.00,12.50,0,0.000,6,Anguilla,Anguila,0,28,660,2,28,1,16,DEN,0,8,Preliminar,2015
0,7.93,6.10,0,0.000,6,Saint Lucia,Santa Lucía,0,28,662,10,28,1,164,DEN 1,0,13,Preliminar,2015
0,,,,,6,Saint Lucia,Santa Lucía,,28,662,,-,1,165,  ,,,Preliminar,2018
0,68.29,19.51,0,0.000,6,Saint Lucia,Santa Lucía,0,28,662,32,28,1,164,DEN 1,0,112,Preliminar,2016
0,8.48,8.48,0,0.000,6,Saint Lucia,Santa Lucía,0,28,662,14,24,1,165,DEN,0,14,Preliminar,2017
0,149.02,2.94,0,0.000,6,Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,28,670,3,28,1,102,DEN,0,152,Preliminar,2016
0,2.94,0.00,0,0.000,6,Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,28,670,0,28,1,102,DEN,0,3,Preliminar,2017
0,0.97,0.97,0,0.000,6,Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,28,670,1,28,1,103,DEN,0,1,Preliminar,2015
0,,,,,6,Saint Vincent and the Grenadines,San Vicente y las Granadinas,,28,670,,-,1,102,  ,,,Preliminar,2018
0,,,,,6,Suriname,Suriname,,28,740,,-,1,563,  ,,,Preliminar,2018
0,0.36,0.36,0,0.000,6,Suriname,Suriname,0,28,740,2,21,1,548,DEN,0,2,Preliminar,2015
0,2.55,0.18,0,0.000,6,Suriname,Suriname,0,28,740,1,27,1,548,DEN 1,0,14,Preliminar,2016
0,,,,,6,Suriname,Suriname,,28,740,,-,1,563,  ,,,Preliminar,2017
0,7.16,0.15,0,0.000,6,Trinidad and Tobago,Trinidad y Tobago,0,28,780,2,25,1,1369,DEN,0,98,Preliminar,2017
0,,,,,6,Trinidad and Tobago,Trinidad y Tobago,,28,780,,-,1,1369,  ,,,Preliminar,2018
