0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,15.22,6.52,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,25,28,6,20,1,92,DEN,0,14,Preliminar,2015
0,,,,,6,Antigua and Barbuda,Antigua y Barbuda,,25,28,,-,1,95,  ,,,Preliminar,2018
0,22.34,3.19,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,25,28,3,24,1,94,DEN 2,0,21,Preliminar,2016
0,1.05,0.00,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,25,28,0,25,1,95,DEN,0,1,Preliminar,2017
0,1.01,0.00,0,0.000,6,Bahamas,Bahamas,0,25,44,0,25,1,395,DEN,0,4,Preliminar,2017
0,1.29,0.26,0,0.000,6,Bahamas,Bahamas,0,25,44,1,12,1,388,DEN,0,5,Preliminar,2015
0,,,,,6,Bahamas,Bahamas,,25,44,,-,1,395,  ,,,Preliminar,2018
0,13.74,0.00,0,0.000,6,Bahamas,Bahamas,0,25,44,0,21,1,393,DEN,0,54,Preliminar,2016
0,,,,,6,Barbados,Barbados,,25,52,,-,1,292,  ,,,Preliminar,2018
0,33.33,5.50,0,0.000,6,Barbados,Barbados,0,25,52,16,20,1,291,DEN 1,0,97,Preliminar,2015
0,378.35,82.82,0,0.000,6,Barbados,Barbados,0,25,52,241,24,1,291,DEN,0,1101,Preliminar,2016
0,51.71,9.93,0,0.000,6,Barbados,Barbados,0,25,52,29,20,1,292,DEN,0,151,Preliminar,2017
0,500.80,5.07,0.106496273,0.000,2,Belize,Belice,0,25,84,19,25,1,375,DEN,2,1878,Preliminar,2017
0,31.61,31.61,0,0.000,2,Belize,Belice,0,25,84,110,16,1,348,DEN 2,0,110,Preliminar,2015
