0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,8.74,8.74,0,0.000,6,Virgin Islands (US),Islas Vírgenes (EUA),0,20,850,9,20,1,103,DEN,0,9,final,2016
0,0.01,0.00,0,0.000,4,Argentina,Argentina,0,20,32,1,3,1,44271,DEN 1,0,4,Preliminar,2018
0,,,,,1,Canada,Canadá,0,20,124,0,20,1,0,  ,0,0,Preliminar,2017
0,0.01,0.01,0,0.000,1,United States of America,Estados Unidos de América,0,20,840,36,20,1,324460,DEN,0,36,Preliminar,2017
0,435.73,4.80,0.122399021,0.000,2,Belize,Belice,0,20,84,18,20,1,375,DEN,2,1634,Preliminar,2017
0,33.06,,0,0.000,2,Costa Rica,Costa Rica,0,20,188,,20,1,4906,"DEN 1,2",0,1622,final,2017
0,21.93,0.56,0,0.000,2,El Salvador,El Salvador,0,20,222,36,20,1,6378,DEN 2,0,1399,Preliminar,2017
0,5.71,,0,0.000,2,Guatemala,Guatemala,0,20,320,,20,1,16914,"DEN 1,2,3,4",0,966,Preliminar,2017
0,21.74,0.00,1.837140020,0.000,2,Honduras,Honduras,0,20,340,0,20,1,9265,"DEN 1,2,3",37,2014,Preliminar,2017
0,8.68,0.96,0.499687695,0.027,2,Mexico,México,3,20,484,1236,20,1,129163,"DEN 1,2,3",56,11207,Preliminar,2017
0,379.64,18.11,,0.004,2,Nicaragua,Nicaragua,1,20,558,1126,20,1,6218,DEN 2,,23606,Preliminar,2017
0,60.28,25.27,0.283286119,0.000,2,Panama,Panamá,0,20,591,1036,20,1,4099,"DEN 1,2",7,2471,Preliminar,2017
0,73.43,7.44,0.517496304,0.025,3,Bolivia,Bolivia,2,20,68,822,20,1,11052,DEN,42,8116,Preliminar,2017
0,25.58,7.51,1.043658381,0.032,3,Colombia,Colombia,4,20,170,3687,20,1,49066,"DEN 1,2,3,4",131,12552,Preliminar,2017
0,45.53,45.53,0.105680317,0.066,3,Ecuador,Ecuador,5,20,218,7570,20,1,16625,DEN,8,7570,Preliminar,2017
0,139.81,39.54,0.304640768,0.098,3,Peru,Perú,44,20,604,12717,20,1,32165,"DEN 2,3",137,44971,Preliminar,2017
0,10.02,,4.121136435,0.000,3,Venezuela,Venezuela,0,20,862,,20,1,31977,DEN,132,3203,Preliminar,2017
0,1.16,0.54,0,0.000,4,Argentina,Argentina,0,20,32,238,20,1,44271,"DEN 1,3",0,514,Preliminar,2017
0,68.96,0.55,0.056815820,0.016,4,Brazil,Brasil,23,20,76,1146,19,1,209288,"DEN 1,2,3,4",82,144326,Preliminar,2017
0,0.03,0.03,0,0.000,4,Chile,Chile,0,20,152,5,20,1,18055,"DEN 1,3",0,5,Preliminar,2017
0,17.47,3.70,0,0.000,4,Paraguay,Paraguay,0,20,600,252,20,1,6811,DEN 1,0,1190,Preliminar,2017
0,0.87,0.87,0,0.000,3,Ecuador,Ecuador,0,20,218,144,2,1,16625,DEN,0,144,Preliminar,2018
0,,,,,1,Canada,Canadá,0,20,124,0,3,1,0,  ,0,0,Preliminar,2018
0,1.67,,3.288672351,0.000,3,Colombia,Colombia,0,20,170,,3,1,49066,DEN,27,821,Preliminar,2018
0,0.32,,11.764705882,0.000,5,Dominican Republic,República Dominicana,0,20,214,,3,1,10767,DEN,4,34,Preliminar,2018
0,1.32,1.32,,0.000,4,Paraguay,Paraguay,0,20,600,90,1,1,6811,DEN 1,,90,Preliminar,2018
0,1.66,,1.313320826,0.000,3,Peru,Perú,0,20,604,,2,1,32165,DEN,7,533,Preliminar,2018
